3.320359999999999978e-02,2.419999999999999842e-03,2.479999999999999566e-03,2.419999999999999842e-03,2.539999999999999723e-03,2.489599999999999366e-03,2.449199999999999901e-03,2.682599999999999915e-02,2.399999999999999790e-03,3.067999999999999547e-03
2.730399999999999841e-02,1.736079999999999915e-02,1.242720000000000109e-02,3.388799999999999972e-03,2.647999999999999746e-03,2.449599999999999694e-03,4.117839999999999695e-02,3.652479999999999616e-02,1.059079999999999744e-02,4.178399999999999649e-03
3.013719999999999941e-02,1.633520000000000458e-02,3.675679999999998532e-02,6.697200000000002977e-03,2.961599999999999996e-03,2.538799999999999911e-03,1.201644000000000184e-01,5.045879999999999810e-02,2.645479999999999707e-02,1.986640000000000281e-02
2.068560000000000190e-02,2.410000000000000250e-03,2.519999999999999671e-03,2.429999999999999868e-03,2.529999999999999263e-03,2.399999999999999790e-03,1.040000000000000299e-02,2.952439999999999926e-02,2.410000000000000250e-03,3.136799999999999485e-03
3.518639999999999962e-02,2.410000000000000250e-03,2.529999999999999263e-03,2.410000000000000250e-03,2.569999999999999368e-03,2.399999999999999790e-03,3.067999999999999547e-03,3.145760000000000223e-02,2.399999999999999790e-03,2.479999999999999566e-03
6.245959999999999707e-02,1.378176000000000123e-01,2.110240000000000379e-02,6.034400000000001395e-03,3.168799999999999829e-03,2.479999999999999566e-03,9.015040000000000553e-02,5.303519999999999762e-02,1.161487999999999965e-01,1.710120000000000390e-02
5.364599999999999924e-02,1.731839999999999768e-02,4.848400000000000105e-03,2.645600000000000122e-03,2.569199999999999349e-03,2.821599999999999196e-03,4.376640000000000391e-02,4.438479999999999509e-02,2.039599999999998706e-02,2.879800000000000415e-02
2.381360000000000074e-02,2.399999999999999790e-03,2.489999999999999158e-03,2.419999999999999842e-03,2.559999999999999776e-03,2.419999999999999842e-03,8.582400000000000445e-03,2.920799999999999785e-02,2.725200000000000105e-03,2.716000000000000098e-03
1.352080000000000122e-02,1.070072000000000106e-01,2.654400000000000162e-02,1.550960000000000012e-02,5.565200000000000181e-03,2.637200000000000134e-03,6.929240000000000399e-02,3.619200000000000195e-02,7.545119999999999605e-02,5.642559999999999243e-02
1.777839999999999629e-02,1.727972000000000119e-01,7.165720000000000423e-02,8.398000000000002685e-03,3.578799999999999603e-03,2.597200000000000029e-03,1.790615999999999874e-01,4.847839999999999094e-02,1.883827999999999614e-01,5.125919999999999088e-02
2.964799999999999641e-03,2.399999999999999790e-03,2.529999999999999263e-03,2.429999999999999868e-03,2.579999999999999828e-03,2.399999999999999790e-03,2.055359999999999826e-02,2.355439999999999964e-02,3.040399999999999527e-03,7.866000000000001463e-03
3.269200000000000318e-03,2.399999999999999790e-03,2.518799999999999858e-03,2.429999999999999868e-03,2.479999999999999566e-03,2.419999999999999842e-03,1.898799999999999794e-02,2.630080000000000265e-02,4.330399999999999007e-03,7.280000000000000013e-03
7.045280000000000986e-02,4.915231999999999934e-01,3.131403999999999854e-01,7.776439999999999741e-02,2.996800000000000158e-02,9.596800000000000816e-03,3.741624000000000061e-01,1.188080000000000108e-01,4.964339999999999864e-01,2.465640000000000054e-01
4.858000000000000339e-03,5.847519999999999107e-02,3.864799999999999486e-02,2.410000000000000250e-03,2.549999999999999750e-03,2.419999999999999842e-03,9.652439999999998244e-02,3.930480000000000085e-02,1.042087999999999903e-01,2.178520000000000109e-02
